image_name,image_width,image_height,top_x,top_y,bottom_x,bottom_y
car_0,806,466,0.722084367245657,0.5879828326180251,0.8684863523573201,0.688841201716738
car_1,494,449,0.16194331983805602,0.850779510022271,0.582995951417004,1.0
car_2,500,314,0.082,0.697452229299363,0.23,0.8280254777070061
car_3,500,469,0.434,0.667377398720682,0.718,0.7654584221748401
car_4,1001,563,0.20879120879120802,0.39076376554174,0.865134865134865,0.9840142095914741
car_5,416,431,0.254807692307692,0.649651972157772,0.627403846153846,0.7772621809744781
car_6,551,455,0.411978221415607,0.529670329670329,0.8058076225045371,0.6923076923076921
car_7,550,537,0.48545454545454503,0.461824953445065,0.72,0.595903165735568
car_8,1569,1119,0.410757946210268,0.453714285714285,0.5688671556642211,0.516571428571428
car_9,1632,918,0.41320293398533003,0.397101449275362,0.58679706601467,0.623188405797101
car_10,642,400,0.311526479750778,0.34500000000000003,0.657320872274143,0.5475
car_11,1024,769,0.33984375,0.49154746423927104,0.4873046875,0.5682704811443431
car_12,640,435,0.3359375,0.427586206896551,0.6828124999999999,0.549425287356321
car_13,550,534,0.18,0.41573033707865104,0.44363636363636305,0.6292134831460671
car_14,500,265,0.302,0.388679245283018,0.72,0.70188679245283
car_15,774,642,0.35400516795865605,0.5358255451713391,0.667958656330749,0.671339563862928
car_16,769,417,0.37971391417425204,0.6187050359712231,0.635890767230169,0.7673860911270981
car_17,468,366,0.128205128205128,0.590163934426229,0.39957264957264904,0.7650273224043711
car_18,492,393,0.678861788617886,0.486005089058524,0.8800813008130081,0.595419847328244
car_19,919,532,0.285092491838955,0.35714285714285704,0.80739934711643,0.7387218045112781
car_20,470,375,0.31489361702127605,0.474666666666666,0.75531914893617,0.7333333333333331
car_21,802,615,0.34039900249376503,0.004878048780487,0.6371571072319201,0.10731707317073101
car_22,768,1024,0.32552083333333304,0.49414062500000006,0.634114583333333,0.5703125
car_23,768,1024,0.375,0.4130859375,0.7447916666666661,0.484375
car_24,600,361,0.27,0.548476454293628,0.718333333333333,0.7700831024930741
car_25,624,450,0.453525641025641,0.39555555555555505,0.693910256410256,0.49111111111111105
car_26,600,486,0.305,0.450617283950617,0.761666666666666,0.6584362139917691
car_27,500,399,0.098,0.46365914786967405,0.494,0.7368421052631571
car_28,2656,1494,0.11165444172779102,0.082608695652173,0.9119804400977991,0.41159420289855003
car_29,1600,916,0.07579462102689401,0.047008547008547,0.93480032599837,0.368945868945868
car_30,1512,825,0.18826405867970603,0.21375186846038802,0.9543602281988591,0.8310911808669651
car_31,1000,562,0.45,0.49288256227758004,0.5680000000000001,0.6334519572953731
car_32,610,485,0.185245901639344,0.49072164948453606,0.460655737704918,0.647422680412371
car_33,730,563,0.063013698630136,0.6198934280639431,0.358904109589041,0.740674955595026
car_34,3720,2472,0.318663406682966,0.391411042944785,0.668296658516707,0.548466257668711
car_35,850,681,0.37058823529411705,0.386196769456681,0.64,0.47283406754772306
car_36,320,240,0.303125,0.41250000000000003,0.609375,0.579166666666666
car_37,304,248,0.401315789473684,0.43548387096774105,0.631578947368421,0.6854838709677411
car_38,1632,918,0.48655256723716306,0.528985507246376,0.5590872045639771,0.571014492753623
car_39,300,225,0.026666666666666002,0.36,0.996666666666666,0.746666666666666
car_40,700,466,0.22142857142857103,0.39270386266094404,0.45,0.551502145922746
car_41,518,458,0.299227799227799,0.493449781659388,0.654440154440154,0.6506550218340611
car_42,500,409,0.052000000000000005,0.6405867970660141,0.328,0.80440097799511
car_43,500,257,0.052000000000000005,0.062256809338521006,0.97,0.9922178988326841
car_44,1200,800,0.49666666666666603,0.58,0.7391666666666661,0.6625
car_45,594,379,0.685185185185185,0.44591029023746703,0.8989898989898991,0.564643799472295
car_46,588,476,0.3078231292517,0.5861344537815121,0.644557823129251,0.7373949579831931
car_47,1024,682,0.3876953125,0.6173020527859231,0.583984375,0.708211143695014
car_48,1280,847,0.24449877750611201,0.34359605911330005,0.8793806030969841,0.626847290640394
car_49,341,368,0.33724340175953005,0.5326086956521741,0.607038123167155,0.654891304347826
car_50,960,1280,0.46041666666666603,0.5515625,0.6937500000000001,0.61640625
car_51,608,302,0.6101973684210521,0.6688741721854301,0.8223684210526311,0.864238410596026
car_52,469,436,0.104477611940298,0.669724770642201,0.417910447761194,0.793577981651376
car_53,400,278,0.52,0.56115107913669,0.8875000000000001,0.7014388489208631
car_54,400,374,0.26,0.612299465240641,0.7025,0.7700534759358281
car_55,500,269,0.562,0.6988847583643121,0.886,0.8810408921933081
car_56,1024,818,0.373046875,0.485330073349633,0.509765625,0.540342298288508
car_57,735,529,0.201360544217687,0.34404536862003704,0.39047619047619003,0.44234404536862004
car_58,547,546,0.168190127970749,0.46520146520146505,0.5502742230347341,0.673992673992674
